"ID","Status","Comment","Description"
"bindings-requirements-scheme","null","not testable with Assertion Tester","Every form in a WoT Thing Description MUST follow the requirements of the Protocol Binding indicated by the URI scheme of its href member."
"bindings-server-accept","null","not testable with Assertion Tester","Every form in a WoT Thing Description MUST accurately describe requests (including request headers, if present) accepted by the Thing in an interaction."
"client-data-schema","null","not testable with Assertion Tester","A Thing acting as a Consumer when interacting with another target Thing described in a WoT Thing Description MUST generate data organized according to the data schemas given in the corresponding interactions."
"client-data-schema-accept-extras","null","not testable with Assertion Tester","A Thing acting as a Consumer when interacting with another Thing MUST accept without error any additional data not described in the data schemas given in the Thing Description of the target Thing."
"client-data-schema-no-extras","null","not testable with Assertion Tester","A Thing acting as a Consumer when interacting with another Thing MUST NOT generate data not described in the data schemas given in the Thing Description of that Thing. "
"client-uri-template","null","not testable with Assertion Tester","A Thing acting as a Consumer when interacting with another Thing MUST generate URIs according to the URI Templates, base URIs, and form href parameters given in the Thing Description of the target Thing."
"iana-security-alter","null","not testable with Assertion Tester","For this reason, Consumer again SHOULD vet and cache remote contexts before allowing the system to use it."
"iana-security-execution","null","not testable with Assertion Tester","Since WoT Thing Description is intended to be a pure data exchange format for Thing metadata, the serialization SHOULD NOT be passed through a code execution mechanism such as JavaScript's eval() function to be parsed."
"iana-security-expansion","null","not testable with Assertion Tester","Consumers SHOULD treat any TD metadata with due skepticism."
"iana-security-remote","null","not testable with Assertion Tester","While implementations on resource-constrained devices are expected to perform raw JSON processing (as opposed to JSON-LD processing), implementations in general SHOULD statically cache vetted versions of their supported context extensions and not to follow links to remote contexts."
"server-data-schema","null","not testable with Assertion Tester","A WoT Thing Description MUST accurately describe the data returned and accepted by each interaction."
"server-data-schema-extras","null","not testable with Assertion Tester","A Thing MAY return additional data from an interaction even when such data is not described in the data schemas given in its WoT Thing Description."
"server-uri-template","null","not testable with Assertion Tester","URI Templates, base URIs, and href members in a WoT Thing Description MUST accurately describe the WoT Interface of the Thing."
"td-context-default-language-direction-heuristic","null","not testable with Assertion Tester","If no language tag is given, the base direction SHOULD be inferred through first-strong heuristics or detection algorithms such as the CLDR Likely Subtags."
"td-context-default-language-direction-independence","null","not testable with Assertion Tester","However, when interpreting human-readable text, each human-readable string value MUST be processed independently."
"td-context-default-language-direction-inference","null","not testable with Assertion Tester","Outside of MultiLanguage Maps, the base direction MAY be inferred from the language tag of the default language."
"td-context-ns-multilanguage-text-direction-infer","null","not testable with Assertion Tester","Inside of MultiLanguage Maps, the base direction of each value of the name-value pairs MAY be inferred from the language tag given in the corresponding name."
"td-default-alg","null","not testable with Assertion Tester","The value associated with member alg if not given MUST be assumed to have the default value ES256."
"td-default-alg-pop","null","not testable with Assertion Tester","The value associated with member alg if not given MUST be assumed to have the default value ES256."
"td-default-contentType","null","not testable with Assertion Tester","The value associated with member contentType if not given MUST be assumed to have the default value application/json."
"td-default-format","null","not testable with Assertion Tester","The value associated with member format if not given MUST be assumed to have the default value jwt."
"td-default-format-pop","null","not testable with Assertion Tester","The value associated with member format if not given MUST be assumed to have the default value jwt."
"td-default-http-method","null","not testable with Assertion Tester","When no method is indicated in a form representing an Protocol Binding based on HTTP, a Default Value MUST be assumed as shown in the following table."
"td-default-http-method_get","null","not testable with Assertion Tester","The value associated with member GET if not given MUST be assumed to have the default value  Form with operation type readproperty"
"td-default-http-method_post","null","not testable with Assertion Tester","The value associated with member POST if not given MUST be assumed to have the default value Form with operation type invokeaction."
"td-default-http-method_put","null","not testable with Assertion Tester","The value associated with member PUT if not given MUST be assumed to have the default value Form with operation type writeproperty."
"td-default-idempotent","null","not testable with Assertion Tester","The value associated with member idempotent if not given MUST be assumed to have the default value false."
"td-default-in-apikey","null","not testable with Assertion Tester","The value associated with member in if not given MUST be assumed to have the default value query."
"td-default-in-basic","null","not testable with Assertion Tester","The value associated with member in if not given MUST be assumed to have the default value header."
"td-default-in-bearer","null","not testable with Assertion Tester","The value associated with member in if not given MUST be assumed to have the default value header."
"td-default-in-digest","null","not testable with Assertion Tester","The value associated with member in if not given MUST be assumed to have the default value header."
"td-default-in-pop","null","not testable with Assertion Tester","The value associated with member in if not given MUST be assumed to have the default value header."
"td-default-op-actions","null","not testable with Assertion Tester","The value associated with member op if not given MUST be assumed to have the default value invokeaction."
"td-default-op-events","null","not testable with Assertion Tester","The value associated with member op if not given MUST be assumed to have the default value subscribeevent."
"td-default-op-properties","null","not testable with Assertion Tester","The value associated with member op if not given MUST be assumed to have the default value Array of string with the elements readproperty and writeproperty."
"td-default-qop","null","not testable with Assertion Tester","The value associated with member qop if not given MUST be assumed to have the default value auth."
"td-default-readOnly","null","not testable with Assertion Tester","The value associated with member readOnly if not given MUST be assumed to have the default value false."
"td-default-safe","null","not testable with Assertion Tester","The value associated with member safe if not given MUST be assumed to have the default value false."
"td-default-writeOnly","null","not testable with Assertion Tester","The value associated with member writeOnly if not given MUST be assumed to have the default value false."
