"ID","Status","Assertion","Comment"
"privacy-distributed-ids","null","TD identifiers SHOULD be generated using a distributed mechanism such as UUIDs that provides a high probability of uniqueness.",
"privacy-id-metadata","null","TD identifiers SHOULD be generated using a distributed mechanism such as UUIDs that provides a high probability of uniqueness.",
"sec-body-name-json-pointer","null","When used in the context of a body security information location, the value of name MUST be in the form of a JSON pointer [[!RFC6901]] relative to the root of the input DataSchema for each interaction it is used with.",
"sec-body-name-json-pointer-array","null","The JSON pointer used in the body locator MAY use the - character to indicate a non-existent array element when it is necessary to insert an element after the last element of an existing array",
"sec-security-vocab-auto-in-no-name","null","",
"sec-vuln-auto","null","",
"td-action-arrays","null","The type of the members forms MUST be serialized as a JSON array.",
"td-action-names","null","",
"td-action-names_at-type","null","Each optional vocabulary term as defined in the class Action and its superclass InteractionPattern MUST be serialized as a JSON name within an Action object.",
"td-action-names_description","null","Each optional vocabulary term as defined in the class Action and its superclass InteractionPattern MUST be serialized as a JSON name within an Action object.",
"td-action-names_descriptions","null","Each optional vocabulary term as defined in the class Action and its superclass InteractionPattern MUST be serialized as a JSON name within an Action object.",
"td-action-names_forms","null","The type of the members forms MUST be serialized as a JSON array.",
"td-action-names_idempotent","null","",
"td-action-names_input","null","",
"td-action-names_output","null","",
"td-action-names_safe","null","",
"td-action-names_title","null","Each optional vocabulary term as defined in the class Action and its superclass InteractionPattern MUST be serialized as a JSON name within an Action object.",
"td-action-names_titles","null","Each optional vocabulary term as defined in the class Action and its superclass InteractionPattern MUST be serialized as a JSON name within an Action object.",
"td-action-names_uriVariables","null","Each optional vocabulary term as defined in the class Action and its superclass InteractionPattern MUST be serialized as a JSON name within an Action object.",
"td-action-objects","null","",
"td-action-objects_input","null","",
"td-action-objects_output","null","",
"td-actions","null","",
"td-actions_existence","null","Actions offered by a Thing MUST be collected in the JSON-object based actions member with (unique) Action names as JSON names.(Checking their existence)",
"td-actions_uniqueness","null","",
"td-additionalExpectedResponse-contentType","null","",
"td-additionalExpectedResponse-schema","null","",
"td-array-type","null","",
"td-arrays","null","",
"td-arrays_forms","null","",
"td-arrays_links","null","Each mandatory and optional vocabulary term as defined in the class Link, MUST be serialized as a JSON name.",
"td-boolean-type","null","",
"td-class-type","null","",
"td-context","null","The root element of a TD Serialization MUST be a JSON object that includes a member with the name @context and a value of type string or array that equals or respectively contains https://www.w3.org/2022/wot/td/v1.1.",
"td-context-default-language","null","schema",
"td-context-ns-td10-namespace","null","When there are possibly TD 1.0 consumers the anyURI https://www.w3.org/2019/wot/td/v1 MUST be the first entry and the https://www.w3.org/2022/wot/td/v1.1 MUST be the second entry.",
"td-context-ns-thing-mandatory","null","",
"td-context-ns-thing-map-of-namespaces","null","schema",
"td-context-ns-thing-optional","null","schema",
"td-context-toplevel","null","",
"td-data-schema","null","",
"td-data-schema-arrays","null","",
"td-data-schema-arrays_enum","null","",
"td-data-schema-arrays_oneOf","null","",
"td-data-schema-arrays_required","null","",
"td-data-schema-objects","null","",
"td-data-schema-objects-arrays","null","",
"td-data-schema_at-type","null","",
"td-data-schema_const","null","",
"td-data-schema_contentEncoding","null","",
"td-data-schema_contentMediaType","null","",
"td-data-schema_description","null","",
"td-data-schema_descriptions","null","",
"td-data-schema_enum","null","",
"td-data-schema_exclusiveMaximum-IntegerSchema","null","",
"td-data-schema_exclusiveMaximum-NumberSchema","null","",
"td-data-schema_exclusiveMinimum-IntegerSchema","null","",
"td-data-schema_exclusiveMinimum-NumberSchema","null","",
"td-data-schema_format","null","",
"td-data-schema_items","null","",
"td-data-schema_maxItems","null","",
"td-data-schema_maxLength","null","",
"td-data-schema_maximum-IntegerSchema","null","",
"td-data-schema_maximum-NumberSchema","null","",
"td-data-schema_minItems","null","",
"td-data-schema_minLength","null","",
"td-data-schema_minimum-IntegerSchema","null","",
"td-data-schema_minimum-NumberSchema","null","",
"td-data-schema_multipleOf-IntegerSchema","null","",
"td-data-schema_multipleOf-NumberSchema","null","",
"td-data-schema_oneOf","null","",
"td-data-schema_pattern","null","",
"td-data-schema_properties","null","",
"td-data-schema_readOnly","null","",
"td-data-schema_required","null","",
"td-data-schema_title","null","",
"td-data-schema_titles","null","",
"td-data-schema_type","null","",
"td-data-schema_unit","null","",
"td-data-schema_writeOnly","null","",
"td-datetime-recommended-type","null","",
"td-datetime-type","null","",
"td-event-arrays","null","The type of the members forms MUST be serialized as a JSON array.",
"td-event-names","null","",
"td-event-names_at-type","null","Each optional vocabulary term as defined in the class Event, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within an Event object.",
"td-event-names_cancellation","null","",
"td-event-names_data","null","",
"td-event-names_dataResponse","null","",
"td-event-names_description","null","Each optional vocabulary term as defined in the class Event, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within an Event object.",
"td-event-names_descriptions","null","Each optional vocabulary term as defined in the class Event, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within an Event object.",
"td-event-names_forms","null","The type of the members forms MUST be serialized as a JSON array.",
"td-event-names_subscription","null","",
"td-event-names_title","null","Each optional vocabulary term as defined in the class Event, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within an Event object.",
"td-event-names_titles","null","Each optional vocabulary term as defined in the class Event, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within an Event object.",
"td-event-names_uriVariables","null","Each optional vocabulary term as defined in the class Event, as well as its two superclasses InteractionPattern and DataSchema, MUST be serialized as a JSON name within an Event object.",
"td-event-objects","null","",
"td-event-objects_cancellation","null","",
"td-event-objects_data","null","",
"td-event-objects_dataResponse","null","",
"td-event-objects_subscription","null","",
"td-events","null","",
"td-events_existence","null","Events offered by a Thing MUST be collected in the JSON-object based events member with (unique) Event names as JSON names. (Checking if they exist)",
"td-events_uniqueness","null","",
"td-expectedResponse-contentType","null","",
"td-form-response-object","null","",
"td-format-validation-known-values","null","",
"td-forms","null","",
"td-forms-response","null","",
"td-integer-type","null","",
"td-json-open","null","",
"td-json-open_utf-8","null","",
"td-links","null","Each mandatory and optional vocabulary term as defined in the class Link, MUST be serialized as a JSON name.",
"td-map-type","null","",
"td-multi-languages","null","",
"td-multi-languages-consistent","null","",
"td-multi-languages_descriptions","null","",
"td-multi-languages_titles","null","",
"td-multilanguage-language-tag","null","",
"td-multilanguage-value","null","",
"td-number-type","null","",
"td-objects","null","",
"td-objects_actions","null","Actions offered by a Thing MUST be collected in the JSON-object based actions member with (unique) Action names as JSON names.(Checking their existence)",
"td-objects_descriptions","null","",
"td-objects_events","null","Events offered by a Thing MUST be collected in the JSON-object based events member with (unique) Event names as JSON names. (Checking if they exist)",
"td-objects_properties","null","Properties (and sub-properties) offered by a Thing MUST be collected in the JSON-object based properties member with (unique) Property names as JSON names. (Checking their existence)",
"td-objects_schemaDefinitions","null","schemaDefinitions: Set of named data schemas. To be used in a schema name-value pair inside an AdditionalExpectedResponse object. MAY be included. Type: Map of DataSchema.",
"td-objects_securityDefinitions","null","",
"td-objects_uriVariables","null","",
"td-objects_version","null","The version container MAY be used to provide additional application and/or device specific version information based on terms from non-TD namespaces.",
"td-op-for-action","null","When a forms term member is present in an Action instance, the value(s) of op in the forms MUST be invokeaction.",
